subject,object,maxClinicalTrialPhase
CHEMBL101253,EFO_0000519,3.0
CHEMBL101253,EFO_0000222,3.0
CHEMBL101253,EFO_0000339,3.0
CHEMBL101253,MONDO_0002974,3.0
CHEMBL101253,EFO_0000403,3.0
CHEMBL101253,EFO_0000389,3.0
CHEMBL101253,EFO_0000756,3.0
CHEMBL101253,MONDO_0007254,3.0
CHEMBL101253,MONDO_0008170,3.0
CHEMBL101253,EFO_0009708,3.0
CHEMBL101253,EFO_0000616,3.0
CHEMBL101253,EFO_0003869,3.0
CHEMBL101253,MONDO_0008315,3.0
CHEMBL101253,EFO_0003060,3.0
CHEMBL101253,MONDO_0002158,3.0
CHEMBL101253,EFO_0001365,3.0
CHEMBL101253,EFO_1001901,3.0
CHEMBL101253,MONDO_0004992,3.0
CHEMBL1013,EFO_0000771,4.0
CHEMBL1013,EFO_0003102,4.0
CHEMBL1014,EFO_0003843,4.0
CHEMBL1014,EFO_0000319,4.0
CHEMBL1014,EFO_0003913,4.0
CHEMBL1014,MONDO_0005147,4.0
CHEMBL1014,EFO_0000612,4.0
CHEMBL1014,EFO_0000537,4.0
CHEMBL1014,MONDO_0043510,4.0
CHEMBL1014,EFO_0003144,4.0
CHEMBL1014,EFO_0001645,4.0
CHEMBL1014,HP_0000093,4.0
CHEMBL1014,EFO_1001150,4.0
CHEMBL1014,HP_0003124,4.0
CHEMBL1014,MONDO_0007254,4.0
CHEMBL1014,EFO_0000373,4.0
CHEMBL1014,EFO_0000400,4.0
CHEMBL1014,EFO_0003914,4.0
CHEMBL1014,MONDO_0001134,4.0
CHEMBL1014,EFO_1001153,4.0
CHEMBL1014,MONDO_0005148,4.0
CHEMBL1014,MONDO_0100096,4.0
CHEMBL1014,EFO_0000712,4.0
CHEMBL1016,MONDO_0100096,3.0
CHEMBL1016,MONDO_0005277,3.0
CHEMBL1016,EFO_0000373,3.0
CHEMBL1016,EFO_0003896,3.0
CHEMBL1016,EFO_0002610,3.0
CHEMBL1016,EFO_0003100,3.0
CHEMBL1016,MONDO_0100431,3.0
CHEMBL1016,EFO_0000694,3.0
CHEMBL1016,MONDO_0004985,3.0
CHEMBL1016,MONDO_0005147,3.0
CHEMBL1016,EFO_0003047,3.0
CHEMBL1016,MONDO_0005148,3.0
CHEMBL1016,EFO_0003144,3.0
CHEMBL1016,MONDO_0005475,3.0
CHEMBL1016,EFO_0000407,3.0
CHEMBL1016,EFO_0000319,3.0
CHEMBL1016,EFO_0000275,3.0
CHEMBL1016,EFO_0000280,3.0
CHEMBL1016,EFO_0003777,3.0
CHEMBL1016,MONDO_0001134,3.0
CHEMBL1016,EFO_0004701,3.0
CHEMBL1016,MONDO_0002491,3.0
CHEMBL1016,EFO_0008573,3.0
CHEMBL1016,EFO_0000538,3.0
CHEMBL1016,HP_0100543,3.0
CHEMBL1016,EFO_0000537,3.0
CHEMBL1016,EFO_0000266,3.0
CHEMBL1017,EFO_0000400,4.0
CHEMBL1017,Orphanet_309005,4.0
CHEMBL1017,EFO_0000612,4.0
CHEMBL1017,EFO_0000764,4.0
CHEMBL1017,EFO_0000694,4.0
CHEMBL1017,EFO_0008620,4.0
CHEMBL1017,EFO_0000401,4.0
CHEMBL1017,EFO_0005762,4.0
CHEMBL1017,EFO_0000712,4.0
CHEMBL1017,MONDO_0100096,4.0
CHEMBL1017,EFO_0004285,4.0
CHEMBL1017,EFO_0003918,4.0
CHEMBL1017,EFO_0003777,4.0
CHEMBL1017,EFO_0000537,4.0
CHEMBL1017,EFO_0000319,4.0
CHEMBL1017,MONDO_0005148,4.0
CHEMBL1017,MONDO_0001134,4.0
CHEMBL1017,EFO_0000180,4.0
CHEMBL1017,EFO_0003884,4.0
CHEMBL1017,MONDO_0004975,4.0
CHEMBL10188,EFO_0000555,2.0
CHEMBL10188,MONDO_0005090,2.0
CHEMBL1020,HP_0002829,4.0
CHEMBL1020,HP_0003326,4.0
CHEMBL1020,EFO_0005755,4.0
CHEMBL1020,EFO_0000685,4.0
CHEMBL1020,MONDO_0005178,4.0
CHEMBL1021,HP_0000616,4.0
CHEMBL1021,MONDO_0005129,4.0
CHEMBL1021,MONDO_0003005,4.0
CHEMBL1021,EFO_0005752,4.0
CHEMBL1021,MP_0001845,4.0
CHEMBL1021,EFO_0003843,4.0
CHEMBL1023,EFO_0000676,4.0
CHEMBL1023,EFO_0004192,4.0
CHEMBL1023,EFO_0000565,4.0
CHEMBL1023,MONDO_0005090,4.0
CHEMBL1023,EFO_0000574,4.0
CHEMBL1023,EFO_1001051,4.0
CHEMBL1023,HP_0100543,4.0
CHEMBL1023,EFO_0002913,4.0
CHEMBL1023,EFO_0000222,4.0
CHEMBL1023,MONDO_0020077,4.0
CHEMBL1023,EFO_1001110,4.0
CHEMBL1023,EFO_0003060,4.0
CHEMBL1023,MONDO_0004975,4.0
CHEMBL1023,EFO_0000198,4.0
CHEMBL1023,MONDO_0008903,4.0
CHEMBL1023,EFO_1000785,4.0
CHEMBL1023,EFO_0005411,4.0
CHEMBL1023,EFO_1000747,4.0
CHEMBL1023,EFO_0005537,4.0
CHEMBL1023,EFO_0000616,4.0
CHEMBL1023,MONDO_0002108,4.0
CHEMBL1023,EFO_0001378,4.0
CHEMBL1023,EFO_0003032,4.0
CHEMBL1023,MONDO_0015760,4.0
